Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
4 elements. Каберне Совиньон,Красное,Темно-рубиновый,Крым,Каберне Совиньон,"Вкус: Насыщенный ягодный. Ноты черных ягод, пыльная комната, слива, шелковица.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-kaberne-sovinon-krasnoe-suhoe-15,usadba-rodnoe-gnezdo-4-elements-kaberne-sovinon-krasnoe-suhoe-15.webp,prod-svoe-vino-strapi\usadba_rodnoe_gnezdo_4_elements_kaberne_sovinon_krasnoe_suhoe_15_0d55114014.webp,ok,1,False,
4 elements. Рислинг,Белое,Соломенный,Крым,Рислинг,"Вкус: Фруктовый с выраженной кислотностью. Зеленое яблоко, свежескошенная трава, полевые цветы.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-risling-beloe-suhoe-12,usadba-rodnoe-gnezdo-4-elements-risling-beloe-suhoe-12.webp,prod-svoe-vino-strapi\usadba_rodnoe_gnezdo_4_elements_risling_beloe_suhoe_12_815bd0df08.webp,ok,1,False,
4 elements. Рислинг,Белое,Светло-соломенный,Крым,Рислинг,"Вкус: Округлое с выраженной кислотностью. Персик, медовые тона, зеленое яблоко, свежескошенная трава, полевые цветы, сладкие ароматы.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-risling-beloe-polusuhoe-12,usadba-rodnoe-gnezdo-4-elements-risling-beloe-polusuhoe-12.webp,prod-svoe-vino-strapi\usadba_rodnoe_gnezdo_4_elements_risling_beloe_polusuhoe_12_3621a7b684.webp,ok,1,False,
4 elements. Сира. Розе,Розовое,Лососевый,Крым,Сира,"Вкус: Насыщенный ягодный со сливочными нотами. Барбарис, клубника, земляника, сливки.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sira-roze-rozovoe-polusuhoe-135,usadba-rodnoe-gnezdo-4-elements-sira-roze-rozovoe-polusuhoe-135.webp,prod-svoe-vino-strapi\usadba_rodnoe_gnezdo_4_elements_sira_roze_rozovoe_polusuhoe_135_2c2c876bf4.webp,ok,1,False,
4 elements. Совиньон Блан,Белое,Светло-соломенный,Крым,Совиньон Блан,"Вкус: Насыщенный с тонкими медовыми тонами. Мед, Дюшес, груша, лимонад, зеленое яблоко.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-polusladkoe-12,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-polusladkoe-12.webp,prod-svoe-vino-strapi\usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_polusladkoe_12_5007538dcc.webp,ok,1,False,
4 elements. Совиньон Блан,Белое,Соломенный,Крым,Совиньон Блан,"Вкус: Свежий, фруктовый. Лист крыжовника, травы, тропики.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-suhoe-12,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-suhoe-12.webp,prod-svoe-vino-strapi\usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_suhoe_12_38c66cd229.webp,ok,1,False,
5 elements Брют белое,Белое,Светло-соломенный с зеленоватым оттенком,Кубань,"Пино Гри, Рислинг, Шардоне","В аромате цветы, фрукты, цитрусы. Вкус свежий, чистый, гармоничный, фруктовый.",Фанагория,fanagoriya-5-elements-bryut-beloe-pino-gri-igristoe-bryut-beloe-125,fanagoriya-5-elements-bryut-beloe-pino-gri-igristoe-bryut-beloe-125.webp,prod-svoe-vino-strapi\fanagoriya_5_elements_bryut_beloe_pino_gri_igristoe_bryut_beloe_125_d7497bb817.webp,ok,1,False,
5 elements Брют розовое,Розовое,Розовый,Кубань,"Каберне Совиньон, Мерло, Саперави","В аромате ягодные ноты, малина, клубника, красная смородина и нотки цветущей вербы. Вкус свежий, бодрящий, живая кислотность.",Фанагория,fanagoriya-5-elements-bryut-rozovoe-saperavi-igristoe-bryut-rozovoe-125,fanagoriya-5-elements-bryut-rozovoe-saperavi-igristoe-bryut-rozovoe-125.webp,prod-svoe-vino-strapi\fanagoriya_5_elements_bryut_rozovoe_saperavi_igristoe_bryut_rozovoe_125_89ce2d6975.webp,ok,1,False,
50/50 Цимлянский-Сибирьковый Экстра брют,Белое,Бледно-желтый,Долина Дона,"Сибирьковый, Цимлянский черный","В аромате минеральные ноты мела и кремния, тона выпечки и тостов с конфитюром. Вкус чистый, хрустящий, свежий с элегантной текстурой, фруктовыми и минеральными оттенками, живой кислотностью и бодрящим послевкусием.",Ведерниковъ,vinodelnya-vedernikov-5050-tsimlyanskiy-sibirkovyy-ekstra-bryut-beloe-12,vinodelnya-vedernikov-5050-tsimlyanskiy-sibirkovyy-ekstra-bryut-beloe-12.webp,prod-svoe-vino-strapi\vinodelnya_vedernikov_5050_tsimlyanskiy_sibirkovyy_ekstra_bryut_beloe_12_9cb05a5a09.webp,ok,1,False,
A.G.Poezdnik. Белое,Белое,Золотистый,Кубань,Шардоне,"Вкус: Минеральный, свежий с преобладанием тропических фруктов и груши. Яркий с медово-цветочными нотами, переходящие в ноты засахаренной цедры.",Шато Пино,shato-pino-agpoezdnik-beloe-shardone-suhoe-13,shato-pino-beloe-shardone-beloe-suhoe-13.webp,prod-svoe-vino-strapi\shato_pino_beloe_shardone_beloe_suhoe_13_8b4d6eb365.webp,ok,1,False,
A.G.Poezdnik. Красное,Красное,Темно-гранатовый,Кубань,Каберне Фран,"Вкус: Сбалансированный, с вишневыми нотами и оттенками дуба. Продолжительное послевкусие. Спелые фрукты и ягоды: слива, красная смородина, кизил",Шато Пино,shato-pino-agpoezdnik-krasnoe-kaberne-fran-suhoe-14,shato-pino-krasnoe-kaberne-fran-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\shato_pino_krasnoe_kaberne_fran_krasnoe_suhoe_14_074ad489ef.webp,ok,1,False,
Abrau Estates Амурский Потапенко,Красное,Рубиновый с пурпурным оттенком,Кубань,Амурский Потапенко,"В аромате цветочные ноты пионов и фиалок, тона черных ягод и фруктов – шелковицы, черной смородины и ежевики с нюансами пряностей. Во вкусе ноты синей сливы, черешни, черной смородины. Послевкусие с яркими танинами и тонкой пряностью.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-amurskiy-potapenko-krasnoe-suhoe-105,abrau-dyurso-abrau-estates-amurskiy-potapenko-krasnoe-suhoe-105.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_estates_amurskiy_potapenko_krasnoe_suhoe_105_a70c9cabe2.webp,ok,1,False,
Abrau Estates белое,Белое,Светло-соломенный,Кубань,"Рислинг, Уньи блан, Шардоне","В аромате ноты белого персика, свежих тропических фруктов, средиземноморских специй и лаванды. В аромате тона грейпфрута, экзотических фруктов и белой дыни с яркой, живой кислотностью и ярким послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-beloe-shardone-suhoe-12,abrau-dyurso-abrau-estates-beloe-shardone-suhoe-12.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_estates_beloe_shardone_suhoe_12_6c1aeb2039.webp,ok,1,False,
Abrau Estates Каберне по-белому,Белое,Соломенный с розовым оттенком,Кубань,Каберне Совиньон,"В аромате тона белой сливы, крыжовника и весенних первоцветов. Во вкусе ягодные оттенки с нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-kaberne-po-belomu-kaberne-sovinon-beloe-suhoe-105,abrau-dyurso-abrau-estates-kaberne-po-belomu-kaberne-sovinon-beloe-suhoe-105.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_estates_kaberne_po_belomu_kaberne_sovinon_beloe_suhoe_105_a340de7dd3.webp,ok,1,False,
Abrau Estates красное,Красное,Тёмно-гранатовый,Кубань,"Каберне Совиньон, Мерло","В аромате фрукты, табак, чернослив, шоколад и мускатный орех. Вкус кислотный, свежий, с мягкими танинами, легкими животными и табачными нюансами в послевкусии.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-krasnoe-kaberne-sovinon-suhoe-13,abrau-dyurso-abrau-estates-krasnoe-kaberne-sovinon-suhoe-13.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_estates_krasnoe_kaberne_sovinon_suhoe_13_1770f5150f.webp,ok,1,False,
Abrau Estates Оранж,Оранжевое,Янтарный,Кубань,Цитронный Магарача,"В аромате медовые и цитрусовые оттенки, ноты спелых и сочных белых фруктов, пряные тона полевых трав с нюансами мяты. Вкус сбалансированный с сочными, но тонкими танинами, цитрусовой легкой кислинкой и медовой сладостью.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-oranzh-tsitronnyy-magaracha-oranzhevoe-suhoe-105,abrau-dyurso-abrau-estates-oranzh-tsitronnyy-magaracha-oranzhevoe-suhoe-105.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_estates_oranzh_tsitronnyy_magaracha_oranzhevoe_suhoe_105_95e00a834b.webp,ok,1,False,
Abrau Estates. Достойный,Красное,Рубиновый,Кубань,Достойный,"В аромате джемовые ноты красных ягод: смородины, вишни, кизила и терна. тона сафьяна и тонкая копченая нота. Аромат яркий, объемный с ягодной свежестью, тонкой кислотностью и бархатными танинами.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-dostoynyy-krasnoe-suhoe-135,abrau-dyurso-abrau-estates-dostoynyy-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_estates_dostoynyy_krasnoe_suhoe_135_a2b9e120e4.webp,ok,1,False,
Abrau Estates. Розе,Розовое,Нежно-розовый,Кубань,"Каберне Совиньон, Каберне Фран","В аромате тона свежей клубники, спелой малины и смородины. Вкус легкий, наполненный ягодными оттенками, отличается свежестью и хорошим балансом. Сочные ягодные оттенки дополнены нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-roze-kaberne-sovinon-rozovoe-suhoe-12,abrau-dyurso-abrau-estates-roze-kaberne-sovinon-rozovoe-suhoe-12.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_estates_roze_kaberne_sovinon_rozovoe_suhoe_12_416c8f123b.webp,ok,1,False,
Abrau-Durso Brut Rose Reserve,Белое,Насыщенный розовый,Кубань,"Каберне Совиньон, Каберне Фран, Мерло, Пино Нуар, Пино фран","В аромате красные лесные ягоды — малина, вишня и земляника, оттенки пенки малинового варенья и клубники со сливками. Вкус округлый и мягкий, свежая кислотность, пряные травы в послевкусии.",Абрау-Дюрсо,abrau-dyurso-abrau-durso-brut-rose-reserve-pino-nuar-beloe-bryut-12,abrau-dyurso-abrau-durso-brut-rose-reserve-pino-nuar-beloe-bryut-12.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_durso_brut_rose_reserve_pino_nuar_beloe_bryut_12_bb364de705.webp,ok,1,False,
Abrau-Durso Reserve Brut,Белое,Золотистый,Кубань,"Пино Блан, Рислинг, Шардоне","В аромате тона зеленого яблока, груши вильямс и цветов акации, оттенки пряных трав и меда. Вкус структурный, кислотный. Ноты зеленого яблока, цедры лайма и лимона.",Абрау-Дюрсо,abrau-dyurso-abrau-durso-reserve-brut-shardone-beloe-bryut-115,abrau-dyurso-abrau-durso-reserve-brut-shardone-beloe-bryut-115.webp,prod-svoe-vino-strapi\abrau_dyurso_abrau_durso_reserve_brut_shardone_beloe_bryut_115_c2d789063b.webp,ok,1,False,
Adagum Cabernet Franc,Красное,Рубиновый с фиолетовым оттенком,Кубань,Каберне Фран,"Деликатный аромат красных ягод, тонов паприки и лёгких травянистых нюансов. Вкус средней полноты, с мягкой танинностью, освежающей кислотностью и элегантным послевкусием.
Хорошо сочетается с белым мясом, телятиной, печёными овощами, блюдами в соусе из красного вина, сырами бри и камамбер.",Olymp Winery,olymp-winery-adagum-cabernet-franc-kaberne-fran-krasnoe-suhoe-11,olymp-winery-adagum-cabernet-franc-kaberne-fran-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_cabernet_franc_kaberne_fran_krasnoe_suhoe_11_1296da5e1c.webp,ok,1,False,
Adagum Cabernet Sauvignon,Красное,Гранатово-рубиновый,Кубань,Каберне Совиньон,"Гармоничный яркий аромат с тонами чёрной смородины, специй и вишни. Вкус насыщенный, с мягкими танинами и обволакивающим длительным послевкусием.
Подходит к любому мясу, особенно тушёному, к дичи, тёплым салатам, мясным закускам и блюдам с грибами",Olymp Winery,olymp-winery-adagum-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11,olymp-winery-adagum-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_cabernet_sauvignon_kaberne_sovinon_krasnoe_suhoe_11_389c433b06.webp,ok,1,False,
Adagum Chardonnay,Белое,Светло-соломенный,Кубань,Шардоне,"Свежий аромат зелёного яблока, цитруса и белых цветов, лёгкие минеральные нотки. Вкус живой, с хрустящей кислотностью и чистым фруктовым послевкусием.
Подходит к морепродуктам, лёгким рыбным блюдам, овощным закускам, мягким сырам и в качестве аперитива.",Olymp Winery,olymp-winery-adagum-chardonnay-shardone-beloe-suhoe-11,olymp-winery-adagum-chardonnay-shardone-beloe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_chardonnay_shardone_beloe_suhoe_11_cf6c199a92.webp,ok,1,False,
Adagum Chardonnay Kuban,Белое,Светло-соломенный,Кубань,Шардоне,"Свежий аромат зелёного яблока, цитруса и белых цветов, лёгкие минеральные нотки. Вкус живой, с хрустящей кислотностью и чистым фруктовым послевкусием.
Подходит к морепродуктам, лёгким рыбным блюдам, овощным закускам, мягким сырам и в качестве аперитива.",Olymp Winery,olymp-winery-adagum-chardonnay-kuban-shardone-beloe-suhoe-11,olymp-winery-adagum-chardonnay-kuban-shardone-beloe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_chardonnay_kuban_shardone_beloe_suhoe_11_a41c24329f.webp,ok,1,False,
Adagum Estate Cabernet Sauvignon,Красное,Насыщенный гранатово-рубиновый,Кубань,Каберне Совиньон,"Аромат чёрной смородины, черешни, тонких нот мяты и специй. Вкус гармоничный, с ощутимыми, но сглаженными танинами и продолжительным тёмно-ягодным послевкусием.
Рекомендуется к жареному и тушёному мясу, дичи, мясным закускам, жюльену с грибами, твёрдым сырам.",Olymp Winery,olymp-winery-adagum-estate-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11,olymp-winery-adagum-estate-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_estate_cabernet_sauvignon_kaberne_sovinon_krasnoe_suhoe_11_425fadfccf.webp,ok,1,False,
Adagum Estate Chardonnay,Белое,Соломенно-золотистый,Кубань,Шардоне,"Элегантный аромат спелых яблок, груши, цитруса с лёгкими сливочными нотами. Вкус мягкий, округлый, с хорошим балансом кислотности и долгим фруктовым послевкусием.
Хорошо сочетается с рыбными блюдами, запечённой птицей, ризотто, пастой со сливочным соусом, мягкими сырами.",Olymp Winery,olymp-winery-adagum-estate-chardonnay-shardone-beloe-suhoe-11,olymp-winery-adagum-estate-chardonnay-shardone-beloe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_estate_chardonnay_shardone_beloe_suhoe_11_db799bd3fb.webp,ok,1,False,
Adagum Estate Merlot,Красное,Рубиновый с фиолетовым отливом,Кубань,Мерло,"Мягкий аромат спелой вишни, тутовника, шоколада и лёгких пряностей. Вкус округлый, бархатистый, с мягкими танинами, сбалансированной кислотностью и долгим послевкусием.
Идеально к мясным блюдам, телятине, ягнятине, блюдам с томатным соусом, сырам средней выдержки.",Olymp Winery,olymp-winery-adagum-estate-merlot-merlo-krasnoe-suhoe-11,olymp-winery-adagum-estate-merlot-merlo-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_estate_merlot_merlo_krasnoe_suhoe_11_40b39cc86c.webp,ok,1,False,
Adagum Estate Red Blend,Красное,Глубокий рубиновый,Кубань,"Каберне Совиньон, Каберне Фран","Сложный аромат: спелая слива, чёрная смородина, тона специй и шоколада. Вкус полнотелый, округлый, с хорошей структурой, мягкими танинами и продолжительным ягодно-пряным послевкусием.
Подходит к красному мясу на гриле, тушёной дичи, жирным сырам, блюдам итальянской и французской кухни.",Olymp Winery,olymp-winery-adagum-estate-red-blend-kaberne-fran-krasnoe-suhoe-11,olymp-winery-adagum-estate-red-blend-kaberne-fran-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_estate_red_blend_kaberne_fran_krasnoe_suhoe_11_4dc9ac373d.webp,ok,1,False,
Adagum Estate Rose,Розовое,Нежный бледно-лососевый,Кубань,"Каберне Совиньон, Мерло","Свежий, деликатный аромат с тонами клубники, граната и красной смородины. Вкус изящный, сбалансированный, с приятной кислотностью и лёгким ягодным послевкусием.
Превосходный аперитив. Сочетается с морепродуктами, белой рыбой, лёгкими салатами, блюдами из куриного мяса, козьими сырами.",Olymp Winery,olymp-winery-adagum-estate-rose-kaberne-sovinon-rozovoe-suhoe-11,olymp-winery-adagum-estate-rose-kaberne-sovinon-rozovoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_estate_rose_kaberne_sovinon_rozovoe_suhoe_11_ad3a02cc01.webp,ok,1,False,
Adagum Estate Sauvignon Blanc,Белое,Светло-соломенный с зеленоватым оттенком,Кубань,Совиньон Блан,"Яркий сортовой аромат: лайм, грейпфрут, свежескошенная трава, цветки смородины, нотки манго и ананаса. Вкус гармоничный, с живой кислотностью и освежающим послевкусием.
Идеален к морепродуктам, устрицам, рыбным блюдам, зелёным салатам, мягким сырам, блюдам из куриного мяса с зелёными травами.",Olymp Winery,olymp-winery-adagum-estate-sauvignon-blanc-sovinon-blan-beloe-suhoe-11,olymp-winery-adagum-estate-sauvignon-blanc-sovinon-blan-beloe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_estate_sauvignon_blanc_sovinon_blan_beloe_suhoe_11_3a562a0c8b.webp,ok,1,False,
Adagum Krаsnostop,Красное,Гранатово-рубиновый,Кубань,Красностоп Золотовский,"Выразительный аромат красных и тёмных ягод, лёгкие тона земли и специй — типичный южнороссийский автохтон. Вкус гармоничный, с мягкими танинами, свежей кислотностью и длительным ягодным послевкусием.
Рекомендуется к блюдам из говядины и баранины, шашлыку, кавказским мясным закускам, выдержанным сырам.",Olymp Winery,olymp-winery-adagum-krasnostop-krasnostop-zolotovskiy-krasnoe-suhoe-11,olymp-winery-adagum-krasnostop-krasnostop-zolotovskiy-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_krasnostop_krasnostop_zolotovskiy_krasnoe_suhoe_11_9741bfb5e5.webp,ok,1,False,
Adagum Merlot,Розовое,Светло-розовый,Кубань,Мерло,"Мягкий аромат спелой вишни, слив, шоколада и лёгких пряностей. Вкус округлый, бархатистый, с мягкими танинами и приятным длительным послевкусием.
Идеально к мясным блюдам, телятине, ягнятине, пасте с болоньезе, сырам средней выдержки.",Olymp Winery,olymp-winery-adagum-merlot-merlo-rozovoe-suhoe-10,olymp-winery-adagum-merlot-merlo-rozovoe-suhoe-10.webp,prod-svoe-vino-strapi\olymp_winery_adagum_merlot_merlo_rozovoe_suhoe_10_b7656d1596.webp,ok,1,False,
Adagum Odessa Black Kuban,Красное,"Тёмно-рубиновый, почти чернильный",Кубань,Одесский черный,"Интенсивный аромат тёмных ягод — ежевики, тутовника, вишни — с нотами пряностей и перца. Вкус насыщенный, полнотелый, с ярко выраженными мягкими танинами и тёплым пряным послевкусием.
Сочетается с говяжьими стейками, бараниной, блюдами с добавлением томатов, острыми закусками и выдержанными сырами.",Olymp Winery,olymp-winery-adagum-odessa-black-kuban-odesskiy-chernyy-krasnoe-suhoe-11,olymp-winery-adagum-odessa-black-kuban-odesskiy-chernyy-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_odessa_black_kuban_odesskiy_chernyy_krasnoe_suhoe_11_8c94e0d7d5.webp,ok,1,False,
Adagum Pinot Noir,Розовое,Светло-рубиновый с малиновым отливом,Кубань,Пино Нуар,"Сортовой аромат красных ягод — вишни, малины, земляники — с тонкими пряными нюансами. Вкус средней полноты, с шелковистыми танинами, свежей кислотностью и ягодным послевкусием.
Подходит к блюдам из утки, телятины, лёгким мясным закускам, пасте, сырам бри и камамбер.",Olymp Winery,olymp-winery-adagum-pinot-noir-pino-nuar-rozovoe-suhoe-11,olymp-winery-adagum-pinot-noir-pino-nuar-rozovoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_pinot_noir_pino_nuar_rozovoe_suhoe_11_266cb2d0df.webp,ok,1,False,
Adagum Pinot Noir,Красное,Светло-рубиновый с малиновым отливом,Кубань,Пино Нуар,"Сортовой аромат красных ягод — вишни, малины, земляники — с тонкими пряными нюансами. Вкус средней полноты, с шелковистыми танинами, свежей кислотностью и ягодным послевкусием.
Подходит к блюдам из утки, телятины, лёгким мясным закускам, пасте, сырам бри и камамбер.",Olymp Winery,olymp-winery-adagum-pinot-noir-pino-nuar-krasnoe-suhoe-11,olymp-winery-adagum-pinot-noir-pino-nuar-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_pinot_noir_pino_nuar_krasnoe_suhoe_11_5be0562815.webp,ok,1,False,
Adagum Riesling,Белое,Светло-соломенный с золотистыми бликами.,Кубань,Рислинг,"Утончённый аромат белых цветов, спелых яблок, груши, цитруса с нюансами абрикоса и лимонной цедры. Вкус освежающий, с живой кислотностью и продолжительным фруктово-цветочным послевкусием.
Рекомендуется как аперитив, к холодным закускам, морской рыбе и морепродуктам, кальмарам на гриле, судаку.",Olymp Winery,olymp-winery-adagum-riesling-risling-beloe-suhoe-11,olymp-winery-adagum-riesling-risling-beloe-suhoe-11.webp,prod-svoe-vino-strapi\olymp_winery_adagum_riesling_risling_beloe_suhoe_11_73187f0bc2.webp,ok,1,False,
